id,county,constituency_code,constituency,constituency_name,office_location,landmark,distance_from_landmark,clean_office_location,direction_type,direction_landmark,direction_distance,landmark_type,landmark_subtype,geocode_queries,geocode_query,latitude,longitude,geocode_method,geocode_confidence,accuracy_meters,formatted_address,successful_geocode_query,total_queries_tried,geocode_status,source,verified,notes,result_type,importance_score,geom,created_at,updated_at,verified_latitude,verified_longitude,verified_at,verifier_id,verification_source,contributor_image_url,confidence_score,created_from_contribution_id,image_url,submission_source,submission_method,verified_by,linked_contribution_ids,elevation_meters,isochrone_15min,isochrone_30min,isochrone_45min,landmark_normalized,landmark_source,walking_effort,geocode_verified,geocode_verified_at,multi_source_confidence
160,BARINGO,160,BARINGO SOUTH,BARINGO SOUTH,Deputy County Commissioner’s,District HQ,200,Deputy County Commissioner’s,,,,Building,,"[""Deputy County Commissioner\u2019s opposite District HQ, BARINGO SOUTH, BARINGO, Kenya"", ""District HQ, BARINGO SOUTH, BARINGO, Kenya"", ""IEBC BARINGO SOUTH office, BARINGO, Kenya"", ""Deputy County Commissioner\u2019s, BARINGO SOUTH, BARINGO, Kenya"", ""BARINGO SOUTH IEBC office, BARINGO County, Kenya"", ""BARINGO SOUTH Town, BARINGO, Kenya""]","District HQ, BARINGO SOUTH, BARINGO, Kenya",0.4714906,35.9853091,provider_refined:locationiq,0.466666666666667,500,"IEBC-Baringo South Office,30403,Kenya","District HQ, BARINGO SOUTH, BARINGO, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BARINGO SOUTH to BARINGO SOUTH (Score 100).,single_source,0.466666666666667,0101000020E6100000C179CC9B1EFE41404EC5D7E8E62CDE3F,2025-11-28 03:35:52.931986+00,2026-03-15 00:26:20.957376+00,,,2026-01-07 14:22:50.122932+00,,admin_manual,,46,83,,,current_location,admin_dashboard,,,,,,District Hq,PDF,moderate,false,,0.466666666666667
192,KERICHO,192,BELGUT,BELGUT,Rev. Temuga Plaza,Opposite DCC Office,100,Rev. Temuga Plaza,,,,Building,,"[""Rev. Temuga Plaza opposite Opposite DCC Office, BELGUT, KERICHO, Kenya"", ""Opposite DCC Office, BELGUT, KERICHO, Kenya"", ""IEBC BELGUT office, KERICHO, Kenya"", ""Rev. Temuga Plaza, BELGUT, KERICHO, Kenya"", ""BELGUT IEBC office, KERICHO County, Kenya"", ""BELGUT Town, KERICHO, Kenya""]",,-0.4086,35.3686,county_center_offset,0.3,500,Kericho County Center,,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BELGUT to BELGUT (Score 100).,,,0101000020E61000001EA7E8482EAF41408351499D8026DABF,2026-02-26 23:51:51.753456+00,2026-03-12 19:04:33.374282+00,,,,,,,,,,,,,,,,,,Opposite Dcc Office,PDF,moderate,false,,
264,KISII,264,BOBASI,BOBASI,Itumbe,DCC's Office,50,Itumbe,,,,Building,,"[""Itumbe opposite DCC's Office, BOBASI, KISII, Kenya"", ""DCC's Office, BOBASI, KISII, Kenya"", ""IEBC BOBASI office, KISII, Kenya"", ""Itumbe, BOBASI, KISII, Kenya"", ""BOBASI IEBC office, KISII County, Kenya"", ""BOBASI Town, KISII, Kenya""]","DCC's Office, BOBASI, KISII, Kenya",-0.7167,34.7833,county_center_offset,0.390909090909091,500,"safaricom Kisii,B3,Nyanza,Kenya","DCC's Office, BOBASI, KISII, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BOBASI to BOBASI (Score 100).,single_source,0.390909090909091,0101000020E6100000787AA52C43644140E561A1D634EFE6BF,2026-02-27 00:02:49.789044+00,2026-03-12 17:53:25.289616+00,,,,,,,39,,,,,,,,,,,Dcc'S Office,PDF,moderate,false,,0.390909090909091
263,KISII,263,BOMACHOGE BORABU,BOMACHOGE BORABU,Kenyanya Market Centre,DCC's Office,10,Kenyanya Market,,,,Building,,"[""Kenyanya Market Centre opposite DCC's Office, BOMACHOGE BORABU, KISII, Kenya"", ""DCC's Office, BOMACHOGE BORABU, KISII, Kenya"", ""IEBC BOMACHOGE BORABU office, KISII, Kenya"", ""Kenyanya Market Centre, BOMACHOGE BORABU, KISII, Kenya"", ""BOMACHOGE BORABU IEBC office, KISII County, Kenya"", ""BOMACHOGE BORABU Town, KISII, Kenya""]","Kenyanya Market Centre opposite DCC's Office on the main road, BOMACHOGE BORABU, KISII, Kenya",-0.7372,34.8267,multi_source_consensus,0.371428571428571,500,"Chongqing Olympic Sports Centre Stadium,Jiulongpo District,Chongqing Main City Metropolitan Area,400016,China","Kenyanya Market Centre opposite DCC's Office on the main road, BOMACHOGE BORABU, KISII, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BOMACHOGE BORABU to BOMACHOGE BORABU (Score 100).,single_source,0.371428571428571,0101000020E610000036CD3B4ED1694140F38E53742497E7BF,2026-02-27 00:02:50.050379+00,2026-03-13 02:19:05.674368+00,,,,,,,37,,,,,,,,,,,Dcc'S Office,PDF,moderate,true,2026-03-12 02:46:47.414899+00,0.371428571428571
265,KISII,265,BOMACHOGE CHACHE,BOMACHOGE CHACHE,Ogembo,DCC's Office,20,Ogembo,off,DCC's Office,,office,,"[""BOMACHOGE CHACHE IEBC office KISII county Kenya"", ""Ogembo, BOMACHOGE CHACHE, KISII County, Kenya""]","Ogembo, BOMACHOGE CHACHE, KISII County, Kenya",-0.806967,34.7164487,multi_source_crossvalidated,0.82,500,Bomachoge Chache,"Ogembo, BOMACHOGE CHACHE, KISII County, Kenya",2,resolved,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BOMACHOGE CHACHE to BOMACHOGE CHACHE (Score 100).,cross_validated,0.355555555555556,0101000020E610000080E14B97B45B41407E703E75ACD2E9BF,2026-02-27 00:02:49.577578+00,2026-03-14 07:57:00.819461+00,,,,,,,82,,,,,,,,,,,Dcc'S Office,PDF,moderate,true,2026-03-14 07:57:00.541026+00,0.82
197,BOMET,197,BOMET CENTRAL,BOMET CENTRAL,Bomet Town,NCPB,0,Bomet,,NCPB,,Building,,"[""BOMET CENTRAL IEBC office BOMET county Kenya""]",BOMET CENTRAL IEBC office BOMET county Kenya,-0.783707733333333,35.3384519333333,multi_source_crossvalidated,0.82,500,Ministry of finance offices,BOMET CENTRAL IEBC office BOMET county Kenya,1,resolved,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BOMET CENTRAL to BOMET CENTRAL (Score 100).,multi_source_consensus,0.4,0101000020E6100000A377986452AB4140203F893D2214E9BF,2026-02-26 23:52:00.715522+00,2026-03-13 02:03:07.691212+00,,,,,,,82,,,,,,,,,,,Ncpb,PDF,moderate,true,2026-03-13 02:03:06.415524+00,0.82
196,BOMET,196,BOMET EAST,BOMET EAST,"AFC Building, Bomet Town",Shell Petrol Station,15,BOMET,at,Shell Petrol Station,,station,,"[""BOMET EAST IEBC office BOMET county Kenya"", ""AFC Building, Bomet Town, BOMET EAST, BOMET County, Kenya"", ""AFC Building, Bomet Town Shell Petrol Station, BOMET County, Kenya"", ""Shell Petrol Station, BOMET EAST, BOMET County, Kenya"", ""AFC Building, Bomet, BOMET County, Kenya"", ""BOMET EAST Town, BOMET County, Kenya""]","AFC Building, Bomet, BOMET County, Kenya",-0.73155,35.3159,multi_source_crossvalidated_v8,0.78,500,BOMET,"AFC Building, Bomet, BOMET County, Kenya",6,resolved,multi_source_v8_ham,true,Consensus from 2 sources: geocode_xyz. Spread: 0.00km,cross_validated,0.78,0101000020E6100000386744696FA841400D71AC8BDB68E7BF,2026-02-26 23:51:59.54639+00,2026-03-12 22:08:15.470575+00,,,,,,,78,,,nasaka_resolver_v8,ai_pipeline_v8,,,,,,,Shell Petrol Station,PDF,moderate,true,2026-03-12 22:08:15.293047+00,0.78
261,KISII,261,BONCHARI,BONCHARI,Suneka Market,Itierio Boys High School,40,Suneka Market,,,,Building,,"[""Suneka Market opposite Itierio Boys High School, BONCHARI, KISII, Kenya"", ""Itierio Boys High School, BONCHARI, KISII, Kenya"", ""IEBC BONCHARI office, KISII, Kenya"", ""Suneka Market, BONCHARI, KISII, Kenya"", ""BONCHARI IEBC office, KISII County, Kenya"", ""BONCHARI Town, KISII, Kenya""]","BONCHARI, KISII, Kenya",-0.7186,34.8083,county_center,0.264018000549325,500,"Bonchari, Kisii South, Kisii, Kenya","BONCHARI, KISII, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BONCHARI to BONCHARI (Score 100).,single_source,0.264018000549325,0101000020E6100000ACADD85F76674140ADFA5C6DC5FEE6BF,2026-02-27 00:02:50.251879+00,2026-03-12 17:56:32.864027+00,,,,,,,26,,,,,,,,,,,Itierio Boys High School,PDF,moderate,false,,0.264018000549325
236,SIAYA,236,BONDO,BONDO,"Adjacent Municipal Offices, Next to",Bondo Law Courts,20,"Adjacent Municipal Offices,",next to,,,Building,,"[""Adjacent Municipal Offices, Next to opposite Bondo Law Courts, BONDO, SIAYA, Kenya"", ""Bondo Law Courts, BONDO, SIAYA, Kenya"", ""IEBC BONDO office, SIAYA, Kenya"", ""Adjacent Municipal Offices, Next to, BONDO, SIAYA, Kenya"", ""BONDO IEBC office, SIAYA County, Kenya"", ""BONDO Town, SIAYA, Kenya""]","Adjacent Municipal Offices, Next to opposite Bondo Law Courts on the main road, BONDO, SIAYA, Kenya",-0.09937,34.27399,multi_source_consensus,0.329411764705882,500,"Bad Soden,Main-Taunus-Kreis,Regierungsbezirk Darmstadt,Hessen,65812,Germany","Adjacent Municipal Offices, Next to opposite Bondo Law Courts on the main road, BONDO, SIAYA, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BONDO to BONDO (Score 100).,single_source,0.329411764705882,0101000020E61000002CB7B41A12234140E31934F44F70B9BF,2026-02-27 00:02:43.282859+00,2026-03-12 17:50:47.993909+00,,,,,,,32,,,,,,,,,,,Bondo Law Courts,PDF,moderate,true,2026-03-12 02:29:40.529796+00,0.329411764705882
273,NYAMIRA,273,BORABU,BORABU,DCC Office Compound in Kijauri Town DCC Offfice,DCC Office,,Compound in Kijauri Offfice,off,DCC Office,,office,,"[""BORABU IEBC office NYAMIRA county Kenya"", ""DCC Office Compound in Kijauri Town DCC Offfice, BORABU, NYAMIRA County, Kenya"", ""DCC Office Compound in Kijauri Town DCC Offfice DCC Office, NYAMIRA County, Kenya"", ""DCC Office, BORABU, NYAMIRA County, Kenya"", ""DCC  Compound in Kijauri  DCC Offfice, NYAMIRA County, Kenya"", ""BORABU Town, NYAMIRA County, Kenya""]","DCC  Compound in Kijauri  DCC Offfice, NYAMIRA County, Kenya",-0.61973,34.97418,multi_source_crossvalidated_v8,0.78,500,"20, Av 2000, Tana River, Coast, 46117, Kenya","DCC  Compound in Kijauri  DCC Offfice, NYAMIRA County, Kenya",6,resolved,multi_source_v8_ham,true,Consensus from 3 sources: geocode_xyz. Spread: 0.00km,multi_source_consensus,0.78,0101000020E6100000693524EEB17C4140DB334B02D4D4E3BF,2026-02-26 23:54:06.208423+00,2026-03-12 23:03:16.722682+00,,,,,,,78,,,nasaka_resolver_v8,ai_pipeline_v8,,,,,,,Dcc Office,PDF,moderate,true,2026-03-12 23:03:16.505291+00,0.78
231,BUSIA,231,BUDALANGI,BUDALANGI,Budalangi Market,Budalangi Primary School,100,Budalangi Market,,,,Building,,"[""Budalangi Market opposite Budalangi Primary School, BUDALANGI, BUSIA, Kenya"", ""Budalangi Primary School, BUDALANGI, BUSIA, Kenya"", ""IEBC BUDALANGI office, BUSIA, Kenya"", ""Budalangi Market, BUDALANGI, BUSIA, Kenya"", ""BUDALANGI IEBC office, BUSIA County, Kenya"", ""BUDALANGI Town, BUSIA, Kenya""]",,0.1108678,34.0462022,tomtom,0.61924247742,500,"Budalangi, Western",,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BUDALANGI to BUDALANGI (Score 100).,,,0101000020E61000006B0025F4E9054140ABF12D07D561BC3F,2026-02-27 00:02:42.583231+00,2026-03-12 20:22:54.372232+00,,,,,,,,,,,,,,,,,,Budalangi Primary School,PDF,moderate,false,,
219,BUNGOMA,219,BUMULA,BUMULA,Bumula DCC Ofiice,DCC Compound,150,Bumula Ofiice,,,,Building,,"[""Bumula DCC Ofiice opposite DCC Compound, BUMULA, BUNGOMA, Kenya"", ""DCC Compound, BUMULA, BUNGOMA, Kenya"", ""IEBC BUMULA office, BUNGOMA, Kenya"", ""Bumula DCC Ofiice, BUMULA, BUNGOMA, Kenya"", ""BUMULA IEBC office, BUNGOMA County, Kenya"", ""BUMULA Town, BUNGOMA, Kenya""]",,0.5333,34.5667,county_center_offset,0.3,500,Bungoma County Center,,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BUMULA to BUMULA (Score 100).,,,0101000020E6100000545227A0894841401B9E5E29CB10E13F,2026-02-26 23:52:28.635807+00,2026-03-12 19:31:31.176924+00,,,,,,,,,,,,,,,,,,Dcc Compound,PDF,moderate,false,,
20,TANA RIVER,20,BURA,BURA,Bura Town,National Government Offices,0,Bura,,,,Building,,"[""Bura Town opposite National Government Offices, BURA, TANA RIVER, Kenya"", ""National Government Offices, BURA, TANA RIVER, Kenya"", ""IEBC BURA office, TANA RIVER, Kenya"", ""Bura Town, BURA, TANA RIVER, Kenya"", ""BURA IEBC office, TANA RIVER County, Kenya"", ""BURA Town, TANA RIVER, Kenya""]",,-3.49358,38.30869,multi_source_consensus,0.65,500,"Bura West, Bura, Tana River, Kenya",,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BURA to BURA (Score 100).,,,0101000020E6100000164D6727832743406DAD2F12DAF20BC0,2026-02-26 23:47:22.669415+00,2026-03-12 18:39:42.070043+00,,,,,,,,,,,,,,,,,,National Government Offices,PDF,moderate,true,2026-03-12 02:12:04.605328+00,0.78
191,KERICHO,191,BURETI,BURETI,"Litein Town, Patnas Plaza",Patnas Plaza,20,"Litein , Patnas Plaza",at,Patnas Plaza,,building,,"[""BURETI IEBC office KERICHO county Kenya"", ""Litein Town, Patnas Plaza, BURETI, KERICHO County, Kenya"", ""Litein Town, Patnas Plaza near Patnas Plaza, KERICHO County, Kenya""]","Litein Town, Patnas Plaza, BURETI, KERICHO County, Kenya",-0.5826114,35.1897712,multi_source_crossvalidated,0.82,500,town centre road,"Litein Town, Patnas Plaza, BURETI, KERICHO County, Kenya",3,resolved,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BURETI to BURETI (Score 100).,cross_validated,,0101000020E610000081DC346C4A98414056DBA8A9C0A4E2BF,2026-02-26 22:50:49.003735+00,2026-03-14 07:51:15.544061+00,,,,,,,82,,,,,,,,,,,Patnas Plaza,PDF,moderate,true,2026-03-14 07:51:15.275515+00,0.82
